name,place_id,types,vicinity,business_status,photos,rating,user_ratings_total,permanently_closed,price_level,google_maps_url
Bowery & Vine | Wine & Spirits,ChIJI1z4sIVZwokR0D94Nva9xQY,"['liquor_store', 'food', 'store', 'point_of_interest', 'establishment']","269 Bowery, New York",OPERATIONAL,"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110023987224284390705"">Bowery &amp; Vine | Wine &amp; Spirits</a>'], 'photo_reference': 'Aaw_FcLuBLKpV8vuIWPi_yVBJJ8KindlLrd0EqL35RXvjYQ_PYMBlz4IOmg8cFLcN3oSwAKUq0lfAT3FM2IL6h1jf9KCQfdROnwBi841Ukyv9-KwVagF7jp7awB5onoeJw9JDnkqfhJRMXORPXEVbXHAYJ-vwX-bIzgGX8R1c-a8eM_1VPjx', 'width': 1024}]",4.2,84.0,,2.0,https://www.google.com/maps/place/?q=place_id:ChIJI1z4sIVZwokR0D94Nva9xQY
Chinatown YMCA,ChIJPbDOr4VZwokRKzsaTVnRvFs,"['gym', 'point_of_interest', 'health', 'establishment']","273 Bowery, New York",OPERATIONAL,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103527133452753856424"">Khurram Hassan</a>'], 'photo_reference': 'Aaw_FcIP8WRGoSuggcKrKqsmSoIMxkMb-bytX-aWxw6XwG-rDshztyf0DwwHS9Ad38sovQgO0l6Icgsxvfd2sOjiDKQl-WokBy9BudFnRYO54XRbSy8kupCgC98VpzAzTNEYTp1F6Z8wBpfRBpp9wHqQMsgjFNFcEPrBmPSpfcucq0bry3JW', 'width': 3024}]",3.6,48.0,,,https://www.google.com/maps/place/?q=place_id:ChIJPbDOr4VZwokRKzsaTVnRvFs
Mavericks Masters Swimming,ChIJPbDOr4VZwokRvLM5Crywv-k,"['gym', 'clothing_store', 'store', 'school', 'point_of_interest', 'health', 'establishment']","273 Bowery, New York",OPERATIONAL,"[{'height': 375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107369694935773484549"">Mavericks Masters Swimming</a>'], 'photo_reference': 'Aaw_FcLx9_GAicGuBc-aPhijWA27iUQrK2iKIpzjTyAfhss0IGW7mQErJvPgn1htZavDyh-s36qkF3G7-2bm691kJWAdlvzDBUkxWRoiI086nbQxjq7sdLZMh0f6-a7Xp2rgt76iNyd6SrcsABhGqJ-3hnsmVX1gdRXcouqDed-t8hwZ_cqz', 'width': 500}]",5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJPbDOr4VZwokRvLM5Crywv-k
Rainbow Kitchen Supplies Inc.,ChIJD8DWooVZwokRJ5wgHiQZcsI,"['store', 'point_of_interest', 'establishment']","272 Bowery, New York",OPERATIONAL,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105001740993661815468"">Rainbow Kitchen &amp; Hardware Supplies</a>'], 'photo_reference': 'Aaw_FcI5p13qIg_-uuyYauvZ8lT3gVEdeEFVQkxkJvkRMWt3n_I4apJ1IKpVo36U4Mti5cyHjvJjT8ORBwvbCLG9yUfTYxFTrhxsmBF22YZd_ov-z79yLerzRLfrrbJl-EySKpDC6e1tgi5AW-luuxWutZ8uIJIyVc0ECJ63-UeJLffBdaQr', 'width': 2016}]",4.7,32.0,,,https://www.google.com/maps/place/?q=place_id:ChIJD8DWooVZwokRJ5wgHiQZcsI
Paul Hunt Swim,ChIJzXcLo4VZwokRQ00ghijlGfY,"['school', 'point_of_interest', 'health', 'establishment']","276 Bowery #2, New York",OPERATIONAL,"[{'height': 500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111411215534479509849"">Paul Hunt Swim</a>'], 'photo_reference': 'Aaw_FcJw6BhYUxmyy8FEoU22-SuXrt-DtWEOZnY_KZ2a4xO9lDRN5YaRTCd7jKBeUk_wCR48J9Y57sPPquhsrTidkIeE1Oq7z_UbcoIyFow9YtDgRg80Awav7uvjgICwZZ421WOn84HSVKsXxcKeFA9oDy3iz30IBtcutsYXLDCqnPBI0GWW', 'width': 500}]",5.0,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJzXcLo4VZwokRQ00ghijlGfY
Worth & Worth,ChIJhcSwzfpYwokRj9z2XasWaOk,"['clothing_store', 'store', 'point_of_interest', 'establishment']","263 Bowery, New York",OPERATIONAL,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104495926574168336306"">Meee</a>'], 'photo_reference': 'Aaw_FcKbbD60pNj97X7rSx78T_wCvIBTOLknQzoXY1ECmK3IT7hVb5PW4XWPBLS7K1iMvW49fY9W0vb5h1CZ36OArShxo_fjFvI_pJDBKR8bQJVtCz-bx8Rr4lSJOihNigbC5UvxWURsYk62kMqcLVuXg8cZ76UGquDu4AcSlJP7ZEIiHFgk', 'width': 3072}]",4.6,38.0,,,https://www.google.com/maps/place/?q=place_id:ChIJhcSwzfpYwokRj9z2XasWaOk
The New York Beer and Brewery Tour,ChIJ86jrHMdZwokRPZRH9RDgQ9Q,"['travel_agency', 'point_of_interest', 'establishment']","265 Bowery, New York",OPERATIONAL,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108134081187828245540"">The New York Beer and Brewery Tour</a>'], 'photo_reference': 'Aaw_FcLdEseJIyl4U6r7LMw7UcUUaBJMA13qLhmVEgbwGl3OvmmUW1oN7HF5F7cioY3rKrH68a3oHHyJxRnR72IGc-75y1FKnD4eK4SlLi3cm41u8O30DKQ33FpFYYhQ6W1RB-uwjdNDchugO-vcps9An36rfLRZqCZCHGVg3b0jiFF5gvav', 'width': 600}]",4.9,49.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ86jrHMdZwokRPZRH9RDgQ9Q
SATC STORE,ChIJCY7EDoVZwokRvSGXMZW9UCo,"['store', 'point_of_interest', 'establishment']","États-Unis, 302 Bowery, New York",OPERATIONAL,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109847661598967171352"">Junior Ortiz Fernandez</a>'], 'photo_reference': 'Aaw_FcK2nPqVLzbH-J5yWvQ6jSveNqMQm0eCfcPc4iRpGmeXoN119KVTxk7JMrLdJJTCT2mfEB2kcCuEX4Kd48s9g973ryiVwN_HtGVUqo9NmuvO3vMNt5XDkecxIjANQHmNKkWuwrRlbmaAtV_ihVMG-6nXNgelxli5KGFMycaEdbGbtl8o', 'width': 4608}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJCY7EDoVZwokRvSGXMZW9UCo
Spicy Moon at Bowery,ChIJAb8jiJZZwokROX7aeBYf2I4,"['restaurant', 'food', 'point_of_interest', 'establishment']","265 Bowery, New York",OPERATIONAL,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100545606526084184531"">Spicy Moon at Bowery</a>'], 'photo_reference': 'Aaw_FcL5n_zhqqItGveU0wFK8l5ROv-UdZI7dJB0gNfqcXSIH-p7clDtXXcvRhD3abrcODBgfyraL4dOIgmQZCwqTkOF4k7dpkefqQP2ayohdtb1-pNj22qeKuphkfBEzQeibvigjchxaBZgeNuFMW6KYP186nTYXbZe5RtEixm-L8CVaP9n', 'width': 4032}]",4.6,31.0,,2.0,https://www.google.com/maps/place/?q=place_id:ChIJAb8jiJZZwokROX7aeBYf2I4
Heatwise,ChIJ3cr2DyZZwokRjSSnYvxxh9I,"['gym', 'health', 'point_of_interest', 'establishment']","274 Bowery, New York",OPERATIONAL,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102664657130840212546"">Heatwise</a>'], 'photo_reference': 'Aaw_FcIjdlTGYLadjQkVyzPK5ZgnbTKIag6_a37Y_KPXioyvAPLYAYbD2YEICi4XPBfZxpeI2jVAxTfMLj6P1IirSBvdbepbzoLRb4DvTRaODSHti54iYJ-o2-crys4JhXEbIpFWYVExPIogdhZIaLQYasUhJURMLdMkw7V6m6rSrF4lJRg', 'width': 3024}]",5.0,6.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ3cr2DyZZwokRjSSnYvxxh9I
Bowery Pizza,ChIJjcW2qIVZwokRMoJxZqh6Jj0,"['restaurant', 'food', 'point_of_interest', 'establishment']","95 East Houston Street, New York",OPERATIONAL,"[{'height': 2282, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102899381855787459504"">Landon Budenholzer</a>'], 'photo_reference': 'Aaw_FcJjyjAXC0jyQySHfIYo_Gq79tINOBxbC5Urb-jItSQYTThorhsqXA2hdoel4Sim4n_knvSrc3pRcwO8wv3CfuJlGG12IYRU_HhnbYwDiZOvcRLE8sSKDyKCMNUjvTmLC3ZxWDV9SZX87_NGqLrbGYXujveUapCtRpjx40RbTE5MQanG', 'width': 1284}]",2.3,3.0,,3.0,https://www.google.com/maps/place/?q=place_id:ChIJjcW2qIVZwokRMoJxZqh6Jj0
Market Plate,ChIJjcW2qIVZwokRuk2IDal4-jI,"['restaurant', 'food', 'point_of_interest', 'establishment']","95 East Houston Street, New York",OPERATIONAL,,,,,3.0,https://www.google.com/maps/place/?q=place_id:ChIJjcW2qIVZwokRuk2IDal4-jI
Advanced Kitchen Inc,ChIJHZgew51ZwokRIIdom4-H5FM,"['store', 'point_of_interest', 'establishment']","261 Bowery, New York",OPERATIONAL,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101408599427719381927"">mcLa twofivesix</a>'], 'photo_reference': 'Aaw_FcKsTKEO1sVuCQ6bmDzl6X9zOAdKN_0S0PGVZiF9f3jlIc4447YNE7DeH3vxIeXbrW976GmpubtcaVRQj-FIiZnpYGxmrK2Lcxcdg_98i2yM2gKBBSVaIrk6bOElYzWlrwx_Vw44o6BLZJGKgvSx1n8cRb0KnVmKMlRoqUxdM3ueFD-d', 'width': 4000}]",1.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJHZgew51ZwokRIIdom4-H5FM
MJ Palace,ChIJ15NgP5hZwokR9CBLBe0Hoj0,"['physiotherapist', 'health', 'point_of_interest', 'establishment']","282 Bowery, New York",OPERATIONAL,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ15NgP5hZwokR9CBLBe0Hoj0
Bowery Locksmith inc,ChIJtSQLL45ZwokR1xj8YWhmCOw,"['locksmith', 'point_of_interest', 'establishment']","280 Bowery, New York",OPERATIONAL,"[{'height': 700, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110140337464581060477"">Bowery Locksmith inc</a>'], 'photo_reference': 'Aaw_FcLfoM1bvmBz-AsQjmu_gVqwti4x4IUVMcNLkQV8ZrgPWND_hRbuwe_ix2_NgOi-pZNpszSF4iiCTPa1Apc3lPvJioLV88mH4FWHNG7IzO2tzJiGNBC3uVSkqXGsVWw4KHbb3la6uKrx4xfqfS4KplqIcuESN8LsUdy7xR7Qxr7LzV78', 'width': 1242}]",5.0,60.0,,,https://www.google.com/maps/place/?q=place_id:ChIJtSQLL45ZwokR1xj8YWhmCOw
Liveable Loveable Colour,ChIJmb1fwKZZwokR9HN4tDmCGto,"['hair_care', 'point_of_interest', 'establishment']","263 Bowery 2nd floor, New York",OPERATIONAL,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJmb1fwKZZwokR9HN4tDmCGto
Globe Slicers,ChIJMy2EvoVZwokREEofSB7rXwU,"['store', 'point_of_interest', 'establishment']","266 Bowery, New York",OPERATIONAL,"[{'height': 442, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104064699210124057524"">Globe Slicers</a>'], 'photo_reference': 'Aaw_FcItAtsTi3LaSVXyGLKfcfVRsQnDPADF8i0cfNATujn8ZoA9yvHf4tIpR5jqqAjWk4mgWiGIBp1R5zkwEnpLIL-qU7jtVIYHWM4Xo6lL-qnAV4iWJXw77lCIuYCrgX6LEoeej899H1RZVRRZ_orBjjlqAWeee-iHfpnm_0lid0uaO2GS', 'width': 660}]",4.0,8.0,,,https://www.google.com/maps/place/?q=place_id:ChIJMy2EvoVZwokREEofSB7rXwU
Sperone Westwater,ChIJoW8duIVZwokRDqKRPbNOM9E,"['art_gallery', 'point_of_interest', 'establishment']","257 Bowery, New York",OPERATIONAL,"[{'height': 3200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114648870570678389484"">Alex Hemsley</a>'], 'photo_reference': 'Aaw_FcJmnrAyMPpF8uXxCBbQ-xjYo239UyjxpVVwRvArlr1dYGNx33BGWt73UpnHKcnHoWKpQmYFYFcREA17G8cU3fUXl0sznNKinOqScoOKYwb4JMg5kgv_W_KZUfXXEDHW5p8Jy36OWffFdqb2FCD2QgvUsIA6cG7vE5kSwW6Ed9d8ogMX', 'width': 2368}]",4.4,31.0,,,https://www.google.com/maps/place/?q=place_id:ChIJoW8duIVZwokRDqKRPbNOM9E
GR gallery,ChIJv-D7x4VZwokR6He4Tse-gE8,"['art_gallery', 'point_of_interest', 'establishment']","255 Bowery, New York",OPERATIONAL,"[{'height': 902, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117638059932782942307"">GR gallery</a>'], 'photo_reference': 'Aaw_FcLA6lLJjGNaosvT2OQKvO9tc7UgO1qEYWkeJMhGUw-c9r-PPMVm-5bXyuIr5OzboWLun1fSkQOUsud3fnPqFnpAHTNzgQ-7rtZ7l0UwGECKgu4ctoUVnYcBGFH0Qwa388RD5W8XMItmt0auX4eIwZlgWXu8TGTSvK4GNlkLfaLASABx', 'width': 1080}]",4.3,38.0,,,https://www.google.com/maps/place/?q=place_id:ChIJv-D7x4VZwokR6He4Tse-gE8
C L E A R I N G,ChIJc93KNKhewokR5rnpYfzAdvg,"['art_gallery', 'point_of_interest', 'establishment']","260 Bowery, New York",OPERATIONAL,"[{'height': 3200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114349311504759759340"">C L E A R I N G</a>'], 'photo_reference': 'Aaw_FcKHDv0-7vRYkoPEacEQZ1rm_r6LWgngDi8TVlO5bzv3igHxZfH7xg_GvF-JrfGEscdbRhnBjus7wvLZgg7LYAcdj1v9qDK8IOJZnjzkWt4EceAzD3afDoH-k7dJ9F_Cl8rOfbfTHR7MIFS8B31c7R477m9CDJ0TmfZa6mf4-oaS_h4P', 'width': 4800}]",4.6,22.0,,,https://www.google.com/maps/place/?q=place_id:ChIJc93KNKhewokR5rnpYfzAdvg
Soho Contemporary Art,ChIJYfCVuYVZwokRiGLomN1n0Xc,"['art_gallery', 'point_of_interest', 'establishment']","259 Bowery, New York",OPERATIONAL,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104873880543626085436"">Soho Contemporary Art</a>'], 'photo_reference': 'Aaw_FcKNZT83-2asyZ_HLoKNj5ZdoEV0pm7slR2jQjuiuXnrRcFsivBmx9wHZylxrfP_DBz2RCiRK3YmpLq8vXoy3T6UpjndFKTTFQZbSDYi4sztKRe9Aahcvn-s10J90EwOarUGr5OJeTXZ18dJ27N627-amFvt6cleXllkp3J0utUhsME1', 'width': 2560}]",4.7,21.0,,,https://www.google.com/maps/place/?q=place_id:ChIJYfCVuYVZwokRiGLomN1n0Xc
The Bowery Ballroom,ChIJn43K1OFZwokRZh7-NgLyOSg,"['museum', 'point_of_interest', 'establishment']","251 Bowery, New York",OPERATIONAL,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJn43K1OFZwokRZh7-NgLyOSg
[solidcore],ChIJPxdZ7L1ZwokRLfVrUyJring,"['gym', 'health', 'point_of_interest', 'establishment']","250 Bowery, New York",OPERATIONAL,"[{'height': 312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114608807313929365915"">[solidcore]</a>'], 'photo_reference': 'Aaw_FcIerL-4UYK6jTC_7ozeYv9wNs4h4g02BHvbUeo5z-OqIwc6_qi3lKIcm5Th8jRLbRjqmnRfVJOexYBLCzYl0ZvNXwkixETJigwS5BFt4HBA0OUx5X5IrANOSldC3pXZaCldWWzNvK-ebF907YFcmvyYqTJnPgpHxuk2W7y58jJBNgyY', 'width': 820}]",3.2,11.0,,,https://www.google.com/maps/place/?q=place_id:ChIJPxdZ7L1ZwokRLfVrUyJring
Symbo Restaurant Equip.,ChIJgV39wYVZwokRyavO8P-1PFE,"['restaurant', 'food', 'point_of_interest', 'establishment']","248 Bowery, New York",OPERATIONAL,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJgV39wYVZwokRyavO8P-1PFE
Howl! Arts/ Howl! Archive (HA/HA),ChIJf4k2K2JZwokR4zCLKcXOiF4,"['art_gallery', 'point_of_interest', 'establishment']","250 Bowery Second Floor, New York",OPERATIONAL,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105698946167376524567"">Howl! Arts/ Howl! Archive (HA/HA)</a>'], 'photo_reference': 'Aaw_FcL7IjAX1F6n6vypb_rXQBaE9jjlo7zGRqhY-brj6Gqk7TNcHhr5EMz8R2d0N2DYC7qm9HQESr1MKEuidfwXv_oGrSoxLccJCpX0lEXtcuLMzMe78OzViblXz1oaa9lDh9a_pMFd7-L1zCJ9XXbSXkiqomCFRLDpNjM6oRZeIRsSFZNl', 'width': 3000}]",5.0,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJf4k2K2JZwokR4zCLKcXOiF4
Leader Trading/OSARA NEW YORK,ChIJxwvJP4ZZwokRbCuQoK97D_Y,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","248 Bowery, New York",OPERATIONAL,"[{'height': 1027, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101534787336738385103"">Leader Trading/OSARA NEW YORK</a>'], 'photo_reference': 'Aaw_FcKM-Gnqg0AtynLrr-mTyu8bE9l-XjmqyIGNM4dMX9vhXXfsMTKlKA_wqQNoC1GMHj0J1MaDsdThNEVkUGO7WEymGdODaUg9M3weRGXZ-RUMtZS3cWpkqCobjiWiN7sN1pt8hPmK4Ge4smt0yojI2WI3Tc9yZdUPlnv-PtN0roLsV3BR', 'width': 723}]",4.9,9.0,,,https://www.google.com/maps/place/?q=place_id:ChIJxwvJP4ZZwokRbCuQoK97D_Y
New Museum,ChIJlaRS3IVZwokR2llMD6dCt-U,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']","235 Bowery, New York",OPERATIONAL,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103446801124180655325"">Ibrahim N</a>'], 'photo_reference': 'Aaw_FcLwpJIc6CEOFalDGAQOse3u1fAKAcbaZ_6trWIfI_FihsVw_Y_BzWsyo7yPKz9_QWq6GgyIfhylyhw3X70fEYaoDWGGnTzklnMD3GFDktXMxJqmW4kVGAbpWZ8VHtNCOr2iIO6laTyf0fUzGrvKGIVWIuAEB56DkOk8-TpRI7t8EXBY', 'width': 3024}]",4.1,2366.0,,3.0,https://www.google.com/maps/place/?q=place_id:ChIJlaRS3IVZwokR2llMD6dCt-U
The Bowery Mission - Flagship Campus,ChIJ04Tc14RZwokRIh3gHCINZyg,"['place_of_worship', 'food', 'point_of_interest', 'establishment']","227 Bowery, New York",OPERATIONAL,"[{'height': 1368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109480684213539153283"">The Bowery Mission - Flagship Campus</a>'], 'photo_reference': 'Aaw_FcK3A_wnE1eOAhiJxgdcgXlHzGlXKrDEZCK673km9MlSPTzELUZkz6dihA_gu3eI2EQuWKLkM-bl9Y1Sz1p0PyRhDkgDHwcnWZdD2k0zTnlCe3E5Lx-wIcMGAz55NZ-93roJoZDS8NieXaTUiQaFWcRAMA2sSpmEQ5Z3hrpUIVTCnVyU', 'width': 2048}]",4.3,369.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ04Tc14RZwokRIh3gHCINZyg
